instituicao_id;st_funcionamento_gn;instituicao_name;cnpj_mantenedora;razao_social
14152;10034;Faculdade Presidente Antônio Carlos de Piumhi;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14154;10034;Faculdade Presidente Antônio Carlos de Raposos;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14149;10034;Faculdade Presidente Antônio Carlos de Bocaiúva;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14159;10034;Faculdade Presidente Antônio Carlos de Carmo do Paranaíba;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14156;10035;Faculdade Presidente Antônio Carlos de Teófilo Otoni;05598350000115;INSTITUTO EDUCACIONAL ALFAUNIPAC LTDA
14128;10034;Faculdade Presidente Antônio Carlos de Vazante;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14162;10035;Faculdade Presidente Antônio Carlos de Governador Valadares;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14163;10034;Faculdade de Educação e Estudos Sociais de Governador Valadares;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14209;10034;Faculdade Presidente Antônio Carlos de Lagoa Santa;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14167;10034;Faculdade Presidente Antônio Carlos de Lajinha;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14166;10034;Faculdade Presidente Antônio Carlos de Itabira;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14170;10034;Faculade Presidente Antônio Carlos de Nepomuceno;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14173;10034;Faculdade Presidente Antônio Carlos de Ribeirão das Neves;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14172;10034;Faculdade Presidente Antônio Carlos de Poté;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14206;10034;Faculdade Presidente Antônio Carlos de Elói Mendes;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14174;10034;Faculdade Presidente Antônio Carlos de São Gonçalo do Rio Abaixo;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14178;10034;Faculdade Presidente Antônio Carlos de Itaobim;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14183;10034;Faculdade Presidente Antônio Carlos de São João Del Rei;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14189;10034;Faculdade Presidente Antônio Carlos de Mariana;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14191;10034;Faculdade Presidente Antônio Carlos de Teófilo Otoni;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14192;10034;Faculdade Presidente Antônio Carlos de Nanuque;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14171;10034;Faculdade Presidente Antõnio Carlos de Perdões;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14205;10034;Faculdade Presidente Antônio Carlos de Bambuí;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14207;10034;Faculdade Presidente Antônio Carlos de Juatuba;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14208;10034;Faculdade Presidente Antônio Carlos de Lagoa dos Patos;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14222;10034;Faculdade Presidente Antônio Carlos de Senhora dos Remédios;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14210;10034;Faculdade Presidente Antônio Carlos de Maria da Fé;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14211;10034;Faculdade Presidente Antônio Carlos de Nazareno;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14212;10034;Faculdade Presidente Antônio Carlos de São Romão;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14213;10034;Faculdade Presidente Antônio Carlos de Setubinha;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14214;10034;Faculdade Presidente Antônio Carlos de Alvarenga;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14215;10034;Faculdade Presidente Antônio Carlos de Barroso;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14216;10034;Faculdade Presidente Antônio Carlos de Divino;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14217;10034;Faculdade Presidente Antônio Carlos de Ladainha;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14218;10034;Faculdade Presidente Antônio Carlos de Luminárias;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14219;10034;Faculdade Presidente Antônio Carlos de Liberdade;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14220;10034;Faculdade Presidente Antônio Carlos de Piraúba;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14221;10034;Faculdade Presidente Antônio Carlos de São Domingos do Prata;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14223;10034;Faculdade Presidente Antônio Carlos de Central de Minas;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14204;10034;Faculdade Presidente Antônio Carlos de Arcos;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14224;10034;Faculdade Presidente Antônio Carlos de Conceição das Alagoas;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14225;10034;Faculdade Presidente Antônio Carlos de Felixlândia;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14226;10034;Faculdade Presidente Antônio Carlos de Jaboticatubas;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
19838;10035;Faculdade Lusitana de Pernambuco;04224338000188;ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA
14227;10034;Faculdade Presidente Antônio Carlos de Recreio;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14228;10034;Faculdade Presidente Antônio Carlos Rio Novo;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14229;10034;Faculdade Presidente Antônio Carlos de São Vicente de Minas;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14230;10034;Faculdade Presidente Antônio Carlos de Tocantins;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14231;10034;Faculdade Presidente Antônio Carlos de Uruana de Minas;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
14232;10034;Faculdade Presidente Antônio Carlos de Vespasiano;17080078000166;FUNDACAO PRESIDENTE ANTONIO CARLOS
